代號,股票名稱,權重,持有數,Date
C_NTD,CASH,2.88,2848497374,2026-03-29
M_NTD,MARGIN,0.51,500128241,2026-03-29
RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,0.16,159926888,2026-03-29
1303,南亞,1.28,17098000,2026-03-29
2327,國巨*,2.84,10803000,2026-03-29
1326,台化,0.39,8828000,2026-03-29
3037,欣興,3.78,7410000,2026-03-29
2449,京元電子,1.99,7082000,2026-03-29
3711,日月光投控,2.16,6039000,2026-03-29
2368,金像電,5.45,5841000,2026-03-29
5347,世界,0.7,5719000,2026-03-29
8046,南電,3.23,5697000,2026-03-29
2002,中鋼,0.1,4927000,2026-03-29
2330,台積電,8.96,4873000,2026-03-29
2308,台達電,6.62,4339000,2026-03-29
3211,順達,1.46,3969000,2026-03-29
6191,精成科,0.33,3400000,2026-03-29
2345,智邦,5.52,3301000,2026-03-29
3017,奇鋐,6.6,2976000,2026-03-29
3665,貿聯-KY,5.22,2775848,2026-03-29
3189,景碩,0.95,2657000,2026-03-29
2383,台光電,7.75,2636000,2026-03-29
8358,金居,0.45,1865000,2026-03-29
3264,欣銓,0.29,1790000,2026-03-29
6488,環球晶,0.77,1701000,2026-03-29
6139,亞翔,0.88,1525000,2026-03-29
1319,東陽,0.13,1502000,2026-03-29
8210,勤誠,1.34,1459000,2026-03-29
3376,新日興,0.3,1426000,2026-03-29
6223,旺矽,5.13,1384000,2026-03-29
3653,健策,5.63,1378000,2026-03-29
2408,南亞科,0.29,1306000,2026-03-29
4979,華星光,0.42,1037000,2026-03-29
6274,台燿,0.53,845000,2026-03-29
6805,富世達,1.31,682000,2026-03-29
6510,精測,1.94,591000,2026-03-29
2404,漢唐,0.51,574000,2026-03-29
2454,聯發科,0.78,487000,2026-03-29
6187,萬潤,0.38,388000,2026-03-29
3217,優群,0.06,356000,2026-03-29
3661,世芯-KY,1.04,339000,2026-03-29
8996,高力,0.29,335000,2026-03-29
6515,穎崴,2.14,268000,2026-03-29
3443,創意,0.66,265000,2026-03-29
5274,信驊,3.01,258000,2026-03-29
3324,雙鴻,0.16,159000,2026-03-29
3533,嘉澤,0.26,115000,2026-03-29
6669,緯穎,0.25,74000,2026-03-29
3008,大立光,0.02,8000,2026-03-29
