代號,股票名稱,持有家數,持有ETF名單,總權重,平均權重
2330,台灣積體電路製造,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",87.8,10.975
2308,台達電子工業,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",28.990000000000002,3.6237500000000002
3017,奇鋐科技,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",23.79,2.97375
6223,旺矽科技,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",21.490000000000002,2.6862500000000002
2368,金像電子（股）公司,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",16.4,2.05
5274,信驊科技,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",12.61,1.57625
2449,京元電子,8,"00980A, 00981A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",8.35,1.04375
2383,台光電子材料,7,"00980A, 00981A, 00982A, 00985A, 00991A, 00992A, 00993A",28.31,4.0442857142857145
2345,智邦科技,7,"00980A, 00981A, 00982A, 00985A, 00991A, 00992A, 00993A",22.71,3.244285714285714
2360,致茂電子,7,"00980A, 00982A, 00985A, 00990A, 00991A, 00992A, 00993A",16.51,2.358571428571429
3653,健策精密工業,7,"00980A, 00981A, 00985A, 00990A, 00991A, 00992A, 00993A",16.05,2.292857142857143
3665,貿聯控股（BizLink Holding In,7,"00980A, 00981A, 00982A, 00985A, 00991A, 00992A, 00993A",12.57,1.7957142857142858
6274,台燿科技,7,"00980A, 00981A, 00982A, 00985A, 00990A, 00992A, 00993A",5.02,0.7171428571428571
3037,欣興,6,"00981A, 00985A, 00990A, 00991A, 00992A, 00993A",15.02,2.5033333333333334
6515,穎崴科技,6,"00980A, 00981A, 00985A, 00991A, 00992A, 00993A",12.09,2.015
6805,富世達,6,"00980A, 00981A, 00982A, 00985A, 00992A, 00993A",9.3,1.55
2454,聯發科技,6,"00980A, 00981A, 00982A, 00985A, 00991A, 00993A",8.91,1.485
7769,鴻勁精密,5,"00980A, 00982A, 00985A, 00991A, 00992A",12.71,2.5420000000000003
6669,緯穎科技服務,5,"00980A, 00981A, 00982A, 00985A, 00992A",10.39,2.0780000000000003
6442,光紅建聖,5,"00980A, 00985A, 00991A, 00992A, 00993A",9.280000000000001,1.8560000000000003
3264,欣銓科技,5,"00980A, 00981A, 00982A, 00985A, 00993A",7.75,1.55
3533,嘉澤端子工業,5,"00980A, 00985A, 00990A, 00992A, 00993A",7.629999999999999,1.5259999999999998
3711,日月光投資控股,5,"00980A, 00981A, 00982A, 00985A, 00991A",7.25,1.45
8210,勤誠興業,5,"00980A, 00981A, 00982A, 00985A, 00992A",7.16,1.432
8996,高力熱處理工業,5,"00980A, 00981A, 00982A, 00992A, 00993A",7.1,1.42
2059,川湖科技,5,"00980A, 00982A, 00985A, 00991A, 00992A",6.72,1.3439999999999999
2327,國巨*,5,"00981A, 00982A, 00985A, 00991A, 00993A",4.7,0.9400000000000001
6510,中華精測科技,5,"00980A, 00981A, 00982A, 00991A, 00992A",4.42,0.884
8299,群聯電子,4,"00980A, 00991A, 00992A, 00993A",12.51,3.1275
2408,南亞科技,4,"00980A, 00985A, 00991A, 00992A",11.52,2.88
3105,穩懋,4,"00982A, 00985A, 00992A, 00993A",9.96,2.49
3036,文曄科技,4,"00980A, 00982A, 00985A, 00993A",8.8,2.2
8046,南電,4,"00981A, 00982A, 00991A, 00992A",8.8,2.2
2317,鴻海精密工業,4,"00980A, 00985A, 00991A, 00992A",4.7299999999999995,1.1824999999999999
2344,華邦電子,4,"00980A, 00985A, 00992A, 00993A",3.76,0.94
3324,雙鴻,4,"00981A, 00982A, 00992A, 00993A",2.49,0.6225
3443,創意電子,4,"00980A, 00981A, 00982A, 00992A",2.28,0.57
2313,華通,3,"00990A, 00991A, 00993A",6.23,2.0766666666666667
3293,鈊象電子,3,"00980A, 00985A, 00993A",5.4399999999999995,1.8133333333333332
3189,景碩,3,"00981A, 00991A, 00992A",4.28,1.4266666666666667
2891,中國信託金融控股,3,"00980A, 00985A, 00993A",4.03,1.3433333333333335
2382,廣達電腦,3,"00980A, 00985A, 00991A",3.94,1.3133333333333332
8358,金居,3,"00981A, 00992A, 00993A",2.93,0.9766666666666667
3661,世芯-KY,3,"00981A, 00985A, 00992A",2.5,0.8333333333333334
2404,漢唐,3,"00981A, 00982A, 00993A",2.06,0.6866666666666666
1519,華城電機,3,"00980A, 00985A, 00993A",1.53,0.51
3529,力旺,3,"00982A, 00985A, 00992A",1.5,0.5
2412,中華電信,2,"00985A, 00993A",9.51,4.755
2395,研華,2,"00985A, 00993A",6.17,3.085
202604TX,台灣證交所加權股價指數,2,"00985A, 00993A",5.22,2.61
6139,亞翔,2,"00981A, 00982A",4.82,2.41
4749,新應材,2,"00985A, 00992A",4.04,2.02
6584,南俊國際,2,"00980A, 00992A",3.9299999999999997,1.9649999999999999
3044,健鼎科技,2,"00980A, 00993A",3.8899999999999997,1.9449999999999998
3491,昇達科,2,"00982A, 00993A",3.6500000000000004,1.8250000000000002
2881,富邦金融控股,2,"00980A, 00985A",3.62,1.81
4904,遠傳電信,2,"00985A, 00993A",3.3000000000000003,1.6500000000000001
7751,竑騰,2,"00992A, 00993A",3.15,1.575
2337,旺宏電子,2,"00991A, 00993A",2.8,1.4
1303,南亞,2,"00981A, 00993A",2.5999999999999996,1.2999999999999998
1590,亞德客國際集團,2,"00980A, 00993A",2.51,1.255
4958,臻鼎-KY,2,"00982A, 00993A",2.43,1.215
6781,AES Holding Co Ltd,2,"00985A, 00992A",2.16,1.08
5439,高技,2,"00982A, 00992A",2.02,1.01
