狀態,代號,名稱,投信參與率(%),外資參與率(%),漲跌幅(%),投信淨買超(張),外資淨買超(張),總成交量(張),最新總權重(%)
⚠️ 🚨 異常擁擠 / 換股陷阱,2395,研華,38.3,-4.89,3.92,744,-94,1942,6.17
⚠️ 🚨 異常擁擠 / 換股陷阱,6805,富世達,37.84,-19.47,10.0,386,-198,1020,9.3
⚠️ 🚨 異常擁擠 / 換股陷阱,4904,遠傳電信,28.75,-8.56,1.74,1392,-414,4841,3.3
🛡️ 🛡️ 穩健底倉 (緩步墊高),3665,貿聯控股（BizLink Holding In,7.08,13.15,9.77,192,356,2710,12.57
📈 🌱 完美初升段 (大空間),2481,強茂,5.64,-15.0,2.55,789,-2099,13994,0.88
🛡️ 🛡️ 穩健底倉 (緩步墊高),2383,台光電子材料,5.57,3.76,10.0,169,114,3036,28.31
🛡️ 🛡️ 穩健底倉 (緩步墊高),2345,智邦科技,5.05,-2.45,9.93,217,-105,4299,22.71
📈 🌱 完美初升段 (大空間),2885,元大金,4.93,18.72,5.25,1556,5907,31559,0.76
📈 🌱 完美初升段 (大空間),2404,漢唐,4.77,-22.04,1.58,102,-470,2137,2.06
🛡️ 🛡️ 穩健底倉 (緩步墊高),2368,金像電子（股）公司,4.62,2.42,10.0,346,180,7492,15.03
📈 🌱 完美初升段 (大空間),2603,長榮海運,4.58,22.07,2.51,346,1668,7559,0.6
🛡️ 🛡️ 穩健底倉 (緩步墊高),1216,統一企業,4.14,-15.08,1.27,382,-1392,9235,3.42
